 ***************** NODAL INFORMATION for MAIZSIM *******************************************************
	Node	Nh	Ch	Nm	Nl	Cl	Cm	NH4	NO3	Tmpr	hNew	RTWT
	528	307.26	3564.24	0.00	0.00	0.00	0.00	0.00	35.73	23.00	-200.00	0.000000
	529	307.26	3564.24	0.00	0.00	0.00	0.00	0.00	35.73	23.00	-200.00	0.000000
	530	307.26	3564.24	0.00	0.00	0.00	0.00	0.00	35.73	23.00	-200.00	0.000000
	531	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	532	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	533	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	534	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	535	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	536	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	537	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	538	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	539	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	540	296.64	3440.98	0.00	0.00	0.00	0.00	0.00	34.49	23.00	-200.00	0.000000
	541	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	542	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	543	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	544	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	545	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	546	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	547	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	548	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	549	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	550	286.01	3317.72	0.00	0.00	0.00	0.00	0.00	33.26	23.00	-200.00	0.000000
	551	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	552	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	553	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	554	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	555	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	556	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	557	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	558	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	559	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	560	275.38	3194.46	0.00	0.00	0.00	0.00	0.00	32.02	23.00	-200.00	0.000000
	561	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	562	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	563	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	564	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	565	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	566	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	567	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	568	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	569	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	570	264.72	3070.79	0.00	0.00	0.00	0.00	0.00	30.78	23.00	-200.00	0.000000
	571	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	572	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	573	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	574	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	575	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	576	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	577	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	578	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	579	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	580	254.06	2947.12	0.00	0.00	0.00	0.00	0.00	29.54	23.00	-200.00	0.000000
	581	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	582	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	583	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	584	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	585	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	586	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	587	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	588	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	589	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	590	243.40	2823.45	0.00	0.00	0.00	0.00	0.00	28.30	23.00	-200.00	0.000000
	591	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	592	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	593	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	594	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	595	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	596	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	597	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	598	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	599	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	600	232.70	2699.37	0.00	0.00	0.00	0.00	0.00	27.06	23.00	-200.00	0.000000
	601	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	602	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	603	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	604	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	605	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	606	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	607	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	608	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	609	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	610	222.04	2575.70	0.00	0.00	0.00	0.00	0.00	25.82	23.00	-200.00	0.000000
	611	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	612	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	613	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	614	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	615	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	616	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	617	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	618	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	619	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	620	208.09	2413.82	0.00	0.00	0.00	0.00	0.00	24.20	23.00	-200.00	0.000000
	621	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	622	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	623	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	624	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	625	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	626	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	627	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	628	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	629	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	630	194.13	2251.94	0.00	0.00	0.00	0.00	0.00	22.57	23.00	-200.00	0.000000
	631	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	632	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	633	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	634	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	635	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	636	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	637	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	638	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	639	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	640	183.47	2128.27	0.00	0.00	0.00	0.00	0.00	21.33	23.00	-200.00	0.000000
	641	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	642	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	643	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	644	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	645	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	646	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	647	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	648	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	649	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	650	172.78	2004.19	0.00	0.00	0.00	0.00	0.00	20.09	23.00	-200.00	0.000000
	651	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	652	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	653	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	654	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	655	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	656	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	657	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	658	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	659	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	660	162.11	1880.52	0.00	0.00	0.00	0.00	0.00	18.85	23.00	-200.00	0.000000
	661	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	662	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	663	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	664	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	665	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	666	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	667	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	668	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	669	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	670	151.45	1756.85	0.00	0.00	0.00	0.00	0.00	17.61	23.00	-200.00	0.000000
	671	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	672	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	673	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	674	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	675	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	676	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	677	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	678	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	679	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	680	140.79	1633.18	0.00	0.00	0.00	0.00	0.00	16.37	23.00	-200.00	0.000000
	681	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	682	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	683	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	684	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	685	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	686	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	687	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	688	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	689	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
	690	130.17	1509.92	0.00	0.00	0.00	0.00	0.00	15.14	23.00	-200.00	0.000000
